"Student","Gender","Age","Education","Area","Taste","Fattiness","Salt","Spreadability","Appearance","Recycling","Bio-content","ID"
5065623,2,40,4,4,2,2,3,5,2,3,3,9247
5065623,2,65,4,2,4,4,5,3,3,3,4,9235
5065623,2,18,5,4,4,4,6,3,4,4,5,9223
5065623,2,28,1,3,5,5,7,1,2,3,2,9211
5065623,2,45,2,4,6,5,5,4,4,5,2,9199
5065623,1,53,4,1,5,3,3,3,3,3,5,9187
5065623,1,32,4,2,5,4,4,5,5,4,4,9175
5065623,2,20,3,4,4,5,5,3,3,2,3,9163
5065623,2,37,5,2,2,4,3,4,5,4,5,9151
5065623,2,65,3,3,5,4,5,5,5,6,5,9139
5065623,2,37,4,1,4,4,4,5,5,5,4,9127
5065623,1,47,3,1,3,4,4,3,6,5,4,9115
5065623,2,20,4,2,4,4,4,5,3,2,4,9103
5065623,1,39,4,3,5,4,4,5,4,4,3,9091
5065623,1,27,4,1,4,4,3,5,2,1,5,9079
5065623,2,18,1,3,3,6,6,2,4,3,2,9067
5065623,1,65,3,1,5,4,3,6,4,4,5,9055
5065623,2,20,4,1,5,4,2,3,4,5,5,9043
5065623,2,65,3,2,4,4,3,4,5,5,4,9031
5065623,1,65,4,2,4,4,4,5,4,4,4,9019
5065623,2,57,4,1,4,4,4,4,5,5,4,9007
5065623,2,51,4,2,5,4,3,5,4,4,4,8995
